order_id,customer_id,restaurant_name,cuisine_type,order_date,location,cost_of_the_order,rating,food_preparation_time,delivery_time,day_type,total_delivery_time
FD10090,C1090,Pizza Point,Italian,2025-01-01,Chennai,485.62,3.7,20,33,Weekday,53
FD10230,C1230,Spice Hub,Indian,2025-01-01,Pune,417.92,4.1,10,41,Weekday,51
FD10043,C1043,Punjabi Zaika,North Indian,2025-01-01,Mumbai,335.75,4.0,27,24,Weekday,51
FD10806,C1106,Spice Hub,Indian,2025-01-01,Pune,197.73,3.7,33,31,Weekday,64
FD10284,C1284,South Express,South Indian,2025-01-01,Mumbai,437.34,4.0,17,30,Weekday,47
FD10299,C1299,Punjabi Zaika,North Indian,2025-01-01,Bangalore,1200.0,3.9,33,20,Weekday,53
FD10222,C1222,Spice Hub,Indian,2025-01-01,Pune,533.56,5.0,35,38,Weekday,73
FD10363,C1013,Spice Hub,Indian,2025-01-02,Pune,298.28,4.6,35,27,Weekday,62
FD10726,C1026,Wok & Roll,Chinese,2025-01-02,Delhi,411.03,3.6,22,25,Weekday,47
FD10889,C1189,The Biryani House,Biryani,2025-01-02,Pune,756.98,3.9,24,30,Weekday,54
FD10936,C1236,Burger Town,Fast Food,2025-01-03,Delhi,703.76,3.0,30,21,Weekday,51
FD10622,C1272,Sweet Treats,Desserts,2025-01-03,Pune,677.07,5.0,15,34,Weekday,49
FD10053,C1053,Punjabi Zaika,North Indian,2025-01-03,Mumbai,955.21,4.0,29,37,Weekday,66
FD10641,C1291,Wok & Roll,Chinese,2025-01-03,Pune,334.51,4.0,29,33,Weekday,62
FD10579,C1229,Green Bowl,Healthy,2025-01-03,Bangalore,586.91,4.4,32,22,Weekday,54
FD10780,C1080,Cafe Aroma,Cafe,2025-01-04,Pune,774.05,3.4,28,24,Weekend,52
FD10546,C1196,Spice Hub,Indian,2025-01-04,Pune,417.16,3.7,21,29,Weekend,50
FD10395,C1045,Wok & Roll,Chinese,2025-01-04,Delhi,474.3,3.6,26,36,Weekend,62
FD10019,C1019,Pizza Point,Italian,2025-01-04,Mumbai,800.15,4.6,17,30,Weekend,47
FD10002,C1002,The Biryani House,Biryani,2025-01-04,Mumbai,307.72,3.0,22,27,Weekend,49
FD10979,C1279,Sweet Treats,Desserts,2025-01-04,Bangalore,276.54,4.2,17,28,Weekend,45
FD10609,C1259,Sweet Treats,Desserts,2025-01-04,Hyderabad,1067.31,4.6,13,27,Weekend,40
FD10156,C1156,The Biryani House,Biryani,2025-01-05,Pune,404.97,3.8,19,17,Weekend,36
FD10372,C1022,Burger Town,Fast Food,2025-01-05,Bangalore,503.54,4.4,23,30,Weekend,53
FD10170,C1170,Punjabi Zaika,North Indian,2025-01-05,Chennai,465.69,4.1,24,41,Weekend,65
FD10058,C1058,Green Bowl,Healthy,2025-01-05,Mumbai,485.03,4.3,21,23,Weekend,44
FD10625,C1275,Wok & Roll,Chinese,2025-01-05,Pune,644.14,4.5,31,29,Weekend,60
